buckets,startDay,endDay,microCeph,births,local,N_H,L_H
31,699,730,0,9759,maranhao,6904241,70
31,730,761,0,8606,maranhao,6904241,70
28,761,789,0,9942,maranhao,6904241,70
31,789,820,0,9573,maranhao,6904241,70
30,820,850,2,10144,maranhao,6904241,70
31,850,881,0,9694,maranhao,6904241,70
30,881,911,1,10176,maranhao,6904241,70
31,911,942,3,9972,maranhao,6904241,70
31,942,973,5,10728,maranhao,6904241,70
30,973,1003,17,10295,maranhao,6904241,70
31,1003,1034,36,9575,maranhao,6904241,70
30,1034,1064,40,9062,maranhao,6904241,70
31,1064,1095,28,9215,maranhao,6904241,70
31,1095,1126,18,8515,maranhao,6904241,70
28,1126,1154,13,9467,maranhao,6904241,70
31,1154,1185,1,9610,maranhao,6904241,70
30,1185,1215,2,9913,maranhao,6904241,70
31,1215,1246,1,9409,maranhao,6904241,70
30,1246,1276,5,9534,maranhao,6904241,70
31,1276,1307,0,9445,maranhao,6904241,70
31,1307,1338,3,9364,maranhao,6904241,70
30,1338,1368,2,8758,maranhao,6904241,70
31,1368,1399,2,7782,maranhao,6904241,70
30,1399,1429,4,7379,maranhao,6904241,70
31,365,396,0,4414,matogrosso,3265486,73.7
28,396,424,1,4845,matogrosso,3265486,73.7
31,424,455,2,5003,matogrosso,3265486,73.7
30,455,485,0,5118,matogrosso,3265486,73.7
31,485,516,0,4672,matogrosso,3265486,73.7
30,516,546,1,4721,matogrosso,3265486,73.7
31,546,577,1,4662,matogrosso,3265486,73.7
31,577,608,0,4664,matogrosso,3265486,73.7
30,608,638,0,4633,matogrosso,3265486,73.7
31,638,669,1,4612,matogrosso,3265486,73.7
30,669,699,0,4596,matogrosso,3265486,73.7
31,699,730,1,4607,matogrosso,3265486,73.7
31,730,761,0,4366,matogrosso,3265486,73.7
28,761,789,1,5196,matogrosso,3265486,73.7
31,789,820,1,5155,matogrosso,3265486,73.7
30,820,850,0,4974,matogrosso,3265486,73.7
31,850,881,0,4512,matogrosso,3265486,73.7
30,881,911,0,4670,matogrosso,3265486,73.7
31,911,942,12,4594,matogrosso,3265486,73.7
31,942,973,0,4916,matogrosso,3265486,73.7
30,973,1003,3,4502,matogrosso,3265486,73.7
31,1003,1034,9,4516,matogrosso,3265486,73.7
30,1034,1064,9,4672,matogrosso,3265486,73.7
31,1064,1095,12,4636,matogrosso,3265486,73.7
31,1095,1126,5,4338,matogrosso,3265486,73.7
28,1126,1154,9,5196,matogrosso,3265486,73.7
31,1154,1185,3,5042,matogrosso,3265486,73.7
30,1185,1215,3,4869,matogrosso,3265486,73.7
31,1215,1246,4,4480,matogrosso,3265486,73.7
30,1246,1276,13,4367,matogrosso,3265486,73.7
31,1276,1307,13,4251,matogrosso,3265486,73.7
31,1307,1338,7,4082,matogrosso,3265486,73.7
30,1338,1368,5,4031,matogrosso,3265486,73.7
31,1368,1399,3,3200,matogrosso,3265486,73.7
30,1399,1429,0,2784,matogrosso,3265486,73.7
31,365,396,0,3502,matogrossdosul,2651235,75
28,396,424,0,3884,matogrossdosul,2651235,75
31,424,455,0,3971,matogrossdosul,2651235,75
30,455,485,0,3931,matogrossdosul,2651235,75
31,485,516,0,3617,matogrossdosul,2651235,75
30,516,546,0,3767,matogrossdosul,2651235,75
31,546,577,0,3549,matogrossdosul,2651235,75
31,577,608,0,3479,matogrossdosul,2651235,75
30,608,638,0,3582,matogrossdosul,2651235,75
31,638,669,0,3345,matogrossdosul,2651235,75
30,669,699,0,3701,matogrossdosul,2651235,75
31,699,730,0,3746,matogrossdosul,2651235,75
31,730,761,1,3601,matogrossdosul,2651235,75
28,761,789,0,4274,matogrossdosul,2651235,75
31,789,820,0,3891,matogrossdosul,2651235,75
30,820,850,0,3921,matogrossdosul,2651235,75
31,850,881,0,3674,matogrossdosul,2651235,75
30,881,911,0,3629,matogrossdosul,2651235,75
31,911,942,1,3475,matogrossdosul,2651235,75
31,942,973,1,3651,matogrossdosul,2651235,75
30,973,1003,1,3420,matogrossdosul,2651235,75
31,1003,1034,0,3225,matogrossdosul,2651235,75
30,1034,1064,3,3638,matogrossdosul,2651235,75
31,1064,1095,1,3589,matogrossdosul,2651235,75
31,1095,1126,2,3629,matogrossdosul,2651235,75
28,1126,1154,2,4060,matogrossdosul,2651235,75
31,1154,1185,0,3931,matogrossdosul,2651235,75
30,1185,1215,1,4021,matogrossdosul,2651235,75
31,1215,1246,4,3650,matogrossdosul,2651235,75
30,1246,1276,6,3350,matogrossdosul,2651235,75
31,1276,1307,2,3368,matogrossdosul,2651235,75
31,1307,1338,1,3395,matogrossdosul,2651235,75
30,1338,1368,3,3076,matogrossdosul,2651235,75
31,1368,1399,2,2954,matogrossdosul,2651235,75
30,1399,1429,0,3226,matogrossdosul,2651235,75
31,365,396,1,22168,minasgerais,20869101,76.7
28,396,424,2,23547,minasgerais,20869101,76.7
31,424,455,1,23635,minasgerais,20869101,76.7
30,455,485,2,23753,minasgerais,20869101,76.7
31,485,516,1,22298,minasgerais,20869101,76.7
30,516,546,5,22681,minasgerais,20869101,76.7
31,546,577,1,21379,minasgerais,20869101,76.7
31,577,608,0,21327,minasgerais,20869101,76.7
30,608,638,1,20962,minasgerais,20869101,76.7
31,638,669,0,20679,minasgerais,20869101,76.7
30,669,699,1,21660,minasgerais,20869101,76.7
31,699,730,0,22609,minasgerais,20869101,76.7
31,730,761,0,21735,minasgerais,20869101,76.7
28,761,789,2,25474,minasgerais,20869101,76.7
31,789,820,0,23883,minasgerais,20869101,76.7
30,820,850,0,24028,minasgerais,20869101,76.7
31,850,881,3,22236,minasgerais,20869101,76.7
30,881,911,2,22043,minasgerais,20869101,76.7
31,911,942,2,21547,minasgerais,20869101,76.7
31,942,973,2,21688,minasgerais,20869101,76.7
30,973,1003,2,21036,minasgerais,20869101,76.7
31,1003,1034,8,20261,minasgerais,20869101,76.7
30,1034,1064,25,21738,minasgerais,20869101,76.7
31,1064,1095,18,21936,minasgerais,20869101,76.7
31,1095,1126,12,22372,minasgerais,20869101,76.7
28,1126,1154,4,24491,minasgerais,20869101,76.7
31,1154,1185,1,23293,minasgerais,20869101,76.7
30,1185,1215,4,23519,minasgerais,20869101,76.7
31,1215,1246,8,21488,minasgerais,20869101,76.7
30,1246,1276,9,20778,minasgerais,20869101,76.7
31,1276,1307,9,19885,minasgerais,20869101,76.7
31,1307,1338,18,19876,minasgerais,20869101,76.7
30,1338,1368,25,18734,minasgerais,20869101,76.7
31,1368,1399,15,16544,minasgerais,20869101,76.7
30,1399,1429,2,16686,minasgerais,20869101,76.7
31,365,396,0,10527,para,8175113,71.7
28,396,424,0,11682,para,8175113,71.7
31,424,455,0,12082,para,8175113,71.7
30,455,485,0,12291,para,8175113,71.7
31,485,516,2,11510,para,8175113,71.7
30,516,546,1,12333,para,8175113,71.7
31,546,577,0,12149,para,8175113,71.7
31,577,608,1,12681,para,8175113,71.7
30,608,638,0,12444,para,8175113,71.7
31,638,669,1,11914,para,8175113,71.7
